scene	set	title	location	refs
1	set-08_4-6	titles from flying height	pond	4-6
2	set-01_2-4-6	the drone descends	pond	2-4-6
3	set-01_2-4-6	swimming for the bank	pond	2-4-6
4	set-01_2-4-6	hauling out	pond	2-4-6
5	set-01_2-4-6	rolling onto his back	pond	2-4-6
6	set-01_2-4-6	the glassy stare	pond	2-4-6
7	set-01_2-4-6	skin in the sun	pond	2-4-6
8	set-01_2-4-6	licking his own eye	pond	2-4-6
9	set-01_2-4-6	he looks at the coop	pond	2-4-6
10	set-06_3-4-6	the hen pecking grain	pond	3-4-6
11	set-03_2-3-4-6	the hen in his eyes	pond	2-3-4-6
12	set-06_3-4-6	she turns away	pond	3-4-6
13	set-01_2-4-6	focus back to the frog	pond	2-4-6
14	set-01_2-4-6	he hits the ground	pond	2-4-6
15	set-03_2-3-4-6	fist on his heart	pond	2-3-4-6
16	set-03_2-3-4-6	a tear at the corner	pond	2-3-4-6
17	set-01_2-4-6	he wipes it and sets off	pond	2-4-6
18	set-01_2-4-6	the hopping loop plate	pond	2-4-6
19	set-12_1-3	the hen crocheting	daydream	1-3
20	set-07_1	slimy feathers	daydream	1
21	set-07_1	the big eyes	daydream	1
22	set-11_1-4-5-6	dead hybrids on the water	pond	1-4-5-6
23	set-05_4-5-6	the notebook page	pond	4-5-6
24	set-01_2-4-6	skidding onto the gravel	pond	2-4-6
25	set-01_2-4-6	up the chicken ladder	pond	2-4-6
26	set-02_2-3-4-7	landing in the down	henhouse interior	2-3-4-7
27	set-02_2-3-4-7	she bellows at him	henhouse interior	2-3-4-7
28	set-02_2-3-4-7	she lowers her head	henhouse interior	2-3-4-7
29	set-02_2-3-4-7	reaching behind him	henhouse interior	2-3-4-7
30	set-04_2-4-7	the ring in the leaf box	henhouse interior	2-4-7
31	set-09_3-4-7	she swallows it	henhouse interior	3-4-7
32	set-02_2-3-4-7	she walks past him	henhouse interior	2-3-4-7
33	set-02_2-3-4-7	he turns and watches her go	henhouse interior	2-3-4-7
34	set-04_2-4-7	cartoon hearts	henhouse interior	2-4-7
35	set-04_2-4-7	he finds the grain	henhouse interior	2-4-7
36	set-02_2-3-4-7	grain on his back	henhouse interior	2-3-4-7
37	set-02_2-3-4-7	she stoops to him	henhouse interior	2-3-4-7
38	set-02_2-3-4-7	she pecks him once	henhouse interior	2-3-4-7
39	set-02_2-3-4-7	the background goes black	henhouse interior	2-3-4-7
40	set-02_2-3-4-7	her pupils narrow	henhouse interior	2-3-4-7
41	set-02_2-3-4-7	onto her back	henhouse interior	2-3-4-7
42	set-02_2-3-4-7	running for the door	henhouse interior	2-3-4-7
43	set-03_2-3-4-6	out into the light	pond	2-3-4-6
44	set-03_2-3-4-6	they look at each other	pond	2-3-4-6
45	set-03_2-3-4-6	stroking her feathers	pond	2-3-4-6
46	set-10_2-3-4-5-6	the researcher jumps up	pond	2-3-4-5-6
47	set-05_4-5-6	he photographs them	pond	4-5-6
48	set-03_2-3-4-6	the jump over the puddle	pond	2-3-4-6
49	set-03_2-3-4-6	he snatches a fly	pond	2-3-4-6
50	set-03_2-3-4-6	into the sunset	pond	2-3-4-6
51	set-03_2-3-4-6	the freeze frame	pond	2-3-4-6
